Q1A,Q1I,Q1E,Q2A,Q2I,Q2E,Q3A,Q3I,Q3E,Q4A,Q4I,Q4E,Q5A,Q5I,Q5E,Q6A,Q6I,Q6E,Q7A,Q7I,Q7E,Q8A,Q8I,Q8E,Q9A,Q9I,Q9E,Q10A,Q10I,Q10E,Q11A,Q11I,Q11E,Q12A,Q12I,Q12E,Q13A,Q13I,Q13E,Q14A,Q14I,Q14E,Q15A,Q15I,Q15E,Q16A,Q16I,Q16E,Q17A,Q17I,Q17E,Q18A,Q18I,Q18E,Q19A,Q19I,Q19E,Q20A,Q20I,Q20E,Q21A,Q21I,Q21E,Q22A,Q22I,Q22E,Q23A,Q23I,Q23E,Q24A,Q24I,Q24E,Q25A,Q25I,Q25E,Q26A,Q26I,Q26E,Q27A,Q27I,Q27E,Q28A,Q28I,Q28E,Q29A,Q29I,Q29E,Q30A,Q30I,Q30E,Q31A,Q31I,Q31E,Q32A,Q32I,Q32E,Q33A,Q33I,Q33E,Q34A,Q34I,Q34E,Q35A,Q35I,Q35E,Q36A,Q36I,Q36E,Q37A,Q37I,Q37E,Q38A,Q38I,Q38E,Q39A,Q39I,Q39E,Q40A,Q40I,Q40E,Q41A,Q41I,Q41E,Q42A,Q42I,Q42E,country,source,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,screensize,uniquenetworklocation,hand,religion,orientation,race,voted,married,familysize,major,variance,depression_score,anxiety_score,stress_score,depression_outcome,anxiety_outcome,stress_outcome,depression_target,anxiety_target,stress_target
1,23,3617,2,6,2759,1,25,8769,0,42,6400,2,8,2633,1,22,2121,1,27,4113,1,4,9248,2,29,4337,1,35,2671,1,12,2632,1,30,2145,2,20,1881,1,28,9248,1,37,3120,2,7,3560,1,5,5738,1,26,2816,2,33,5152,0,36,4065,1,41,2465,1,21,2696,1,40,6161,1,14,3247,1,3,2109,3,19,1405,1,34,4339,2,9,2041,1,39,3791,1,18,5441,1,24,5074,0,2,14672,1,10,2247,1,31,1920,0,15,3937,1,17,2168,2,38,6393,1,1,40837,1,11,2257,0,16,4209,0,32,4384,2,13,5945,AU,2,717,254,162,2,4,3,5,5,6,5,7,3,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,20,2,1,1,7,1,60,1,1,3,Civil Engineering,0.4488966318234612,21,14,12,3,2,0,1,0,0
3,12,2431,2,3,9289,3,15,3330,3,32,3916,3,11,1846,2,37,3057,3,42,4482,2,33,4043,3,4,3652,3,1,5455,3,35,2188,3,22,2382,3,30,1387,0,39,5587,3,16,2822,3,36,1679,3,14,2041,3,24,1906,3,2,12891,3,31,3096,3,17,2481,2,6,3624,2,7,2334,3,41,2500,3,40,7431,3,20,1835,3,21,1759,3,26,1895,3,25,2059,3,13,4044,3,9,2266,3,19,4385,3,18,2139,3,29,1445,3,38,5156,3,27,1621,3,28,3164,3,23,1582,3,5,2158,3,8,4805,3,34,2177,3,10,3506,US,2,17,142,168,1,6,6,6,5,7,1,7,4,7,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,19,2,1,1,1,2,70,2,1,2,Biology,0.304297328687573,42,40,36,4,4,4,1,1,1
1,35,1531,1,22,2909,2,31,3694,0,5,5106,2,33,2451,2,32,1547,0,34,1828,2,1,8677,1,11,4926,1,41,1816,2,29,1693,3,28,2899,2,21,1332,1,37,3081,0,25,2041,1,38,3727,2,6,3095,3,18,4776,0,15,3259,3,4,4828,1,13,3389,2,8,3977,1,17,1592,3,36,4306,2,19,4582,2,9,1326,2,16,1874,2,23,6742,1,26,2252,1,7,4681,1,30,3383,0,14,6709,2,2,7193,2,40,1983,1,24,6554,1,20,1910,2,12,3416,2,27,1501,1,42,4166,2,39,2598,0,10,2749,1,3,4696,US,2,14,147,122,5,6,4,6,6,6,5,3,2,4,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,2,1,2,19,1,2,1,8,1,70,2,1,2,,0.7415795586527291,24,14,23,3,2,2,1,0,0
1,28,2555,1,13,3126,0,40,1875,0,38,1796,1,32,2012,1,36,2803,0,27,1321,2,24,2667,0,18,4626,0,25,2230,2,9,6049,2,1,6430,1,2,10085,1,20,5100,0,6,3119,0,39,1707,0,35,1877,1,17,3186,0,41,2551,0,12,2268,0,16,1312,1,34,2431,1,4,2692,0,10,2800,0,42,2194,0,15,1578,1,21,1986,0,30,1635,1,8,3550,0,11,3787,0,31,1510,2,19,5505,0,33,1925,0,29,2062,0,37,4879,0,14,2575,0,3,3716,0,22,1904,2,5,3687,1,7,7280,0,26,1993,1,23,4139,US,2,19,139,147,6,1,2,0,5,6,7,6,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,1,42,2,1,1,6,1,60,1,1,4,teaching,0.4976771196283387,3,3,17,0,0,1,0,0,0
0,27,2461,0,28,3712,1,11,3302,0,38,1544,0,35,2044,0,22,2180,0,17,1997,1,33,2587,3,20,4410,0,26,3663,2,7,4583,3,10,2970,1,24,1869,1,30,4502,0,2,7593,2,21,3500,2,6,3512,1,1,18409,0,15,5715,0,31,3475,0,12,3801,3,8,11502,0,37,1498,1,42,2313,0,3,6849,0,34,2003,2,19,8933,1,18,2274,1,25,2558,1,39,6515,1,13,3074,2,32,6007,3,16,2040,2,9,2484,2,23,3451,3,36,1926,0,40,6180,1,4,2914,3,5,11855,0,29,2517,0,41,1621,3,14,3741,FI,2,10,180,112,5,6,6,2,6,6,3,4,2,4,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,3,1,2,17,2,1,1,1,1,60,2,1,2,,1.259001161440186,14,8,24,2,1,2,0,0,0
0,39,2673,2,9,3719,0,30,2771,0,18,2532,1,17,2501,0,11,4751,1,8,4833,1,4,5167,2,16,4531,0,22,3080,2,3,6263,2,13,4250,1,27,2199,0,23,5506,0,6,4435,2,1,11239,0,12,3014,1,36,2494,0,19,6335,1,25,4087,1,10,3917,1,28,2961,1,32,3090,1,35,4576,0,26,7785,2,15,7150,1,21,3369,0,38,4916,1,33,3577,0,24,6581,0,31,2879,3,7,5250,0,34,2395,1,14,2898,0,41,3568,1,37,1554,1,2,6100,2,5,3179,1,42,2587,1,29,4298,0,40,1971,2,20,4721,ID,0,15,179,234,5,2,6,5,7,7,5,2,1,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,17,1,1,1,1,2,10,2,1,4,Hospitality,0.662020905923345,14,9,13,2,1,0,0,0,0
3,11,2600,0,17,3400,0,38,3504,2,21,2456,1,10,3992,3,30,2055,2,12,2007,1,1,7256,3,36,2529,3,28,1609,3,23,1584,3,41,2304,2,27,2183,1,19,2553,2,2,4550,1,6,2625,3,25,2920,1,14,3647,0,32,2048,3,20,2400,3,33,2353,2,7,2024,1,9,1816,3,3,3103,3,13,4793,3,8,15864,2,5,2935,3,4,2057,2,39,2991,1,29,5928,1,42,3143,1,40,1834,1,24,1872,2,37,1808,0,18,8511,2,34,1799,3,26,1528,3,35,1632,2,15,1672,1,31,12361,2,22,2672,3,16,3312,CA,0,137,145,114,5,5,2,6,7,5,7,3,2,7,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,1,21,2,1,1,4,2,70,2,1,3,History,1.0435540069686415,31,25,25,4,4,2,1,1,0
0,42,3368,0,6,4747,1,10,7270,1,12,5078,1,32,4256,0,38,2953,0,39,4407,3,8,3025,3,15,7936,1,25,16803,1,4,6136,2,30,4240,1,18,3152,0,17,5618,0,20,2698,0,29,3576,3,37,2904,0,22,3139,1,1,62406,0,28,3646,2,7,3560,2,31,3904,2,5,23372,1,35,5000,2,11,8737,1,34,4792,1,27,3834,0,21,2571,2,13,3656,1,26,6815,1,36,4447,1,19,5405,3,2,14184,1,41,3055,0,40,9400,0,14,3679,2,24,5780,1,9,4030,1,33,2591,2,16,4696,0,23,3567,2,3,5408,FI,2,254,291,482,2,5,6,6,5,7,5,5,4,6,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,2,1,1,2,23,2,1,1,2,1,60,2,1,2,Statistics,0.9175377468060394,18,12,16,2,2,1,0,0,0
1,5,2844,1,15,3449,2,34,2585,2,11,3020,1,3,4595,1,20,2374,1,4,2532,2,8,2080,2,32,4819,2,14,2123,3,10,1988,1,28,2885,3,19,3169,2,21,2887,1,40,2382,2,42,2216,1,24,2801,1,23,1708,0,18,4038,2,29,2984,1,38,2789,1,6,1983,1,7,2424,2,16,2433,2,30,7594,2,41,1514,3,9,2113,1,36,2154,1,33,2491,0,13,2964,1,37,1838,2,17,3602,2,2,6829,1,35,1933,1,27,3178,0,22,2368,1,25,1897,2,39,1827,2,12,2155,1,26,2348,1,1,522941,2,31,4079,AE,2,2,642,125,7,2,2,4,5,5,6,4,3,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,2,17,2,1,2,10,1,10,2,1,2,,0.5464576074332169,23,15,23,3,3,2,1,1,0
1,5,3382,0,9,2803,0,20,2968,0,37,2651,1,38,3188,1,40,2333,0,30,2718,0,23,2144,0,29,5890,0,14,2639,2,7,4336,0,42,3050,0,25,1448,1,13,4722,0,3,4003,1,1,6723,0,33,1753,0,39,2050,0,4,3867,0,31,2570,0,34,2482,0,27,1887,0,10,3873,0,19,3135,1,6,6103,1,2,5591,1,18,1854,0,24,1791,0,22,2243,0,35,4731,0,12,2546,1,16,6677,0,21,2216,0,11,1798,1,41,3270,0,26,1368,0,8,4069,0,15,1803,1,17,2288,0,28,2753,0,36,2275,1,32,4158,NONE,2,97,148,160,5,6,6,2,7,4,3,5,5,2,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,2,3,1,2,26,1,1,2,7,1,60,1,1,3,,0.2764227642276421,4,1,9,0,0,0,0,0,0
0,1,13606,0,8,5281,0,39,5018,0,15,10548,0,24,3680,1,5,5846,0,2,18903,0,31,5412,1,14,10566,0,35,4042,0,13,5025,1,4,7181,0,32,2850,0,25,8813,0,12,4489,0,19,4807,0,22,5099,0,40,5144,0,23,10332,0,41,4805,0,10,8926,0,38,7742,0,30,33240,1,6,11790,0,33,6569,0,36,3249,0,7,5813,0,29,3232,1,3,16099,0,17,7800,0,18,4916,0,20,5319,1,34,3706,0,21,14799,0,16,8539,1,37,2857,0,9,6018,0,26,7310,0,28,3268,0,27,6898,0,42,3457,0,11,5772,ES,2,17,320,260,7,5,7,1,7,7,7,7,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,2,2,43,1,1,1,4,1,60,1,1,3,Biologyst,0.14227642276422758,1,2,4,0,0,0,0,0,0
2,3,5401,0,40,1766,2,30,4603,1,15,3404,2,21,3502,2,27,2716,0,31,2207,2,34,1849,1,41,8473,2,29,3867,2,20,1885,1,12,3445,3,14,1382,2,18,3083,0,24,2602,1,8,2703,3,9,2164,2,4,2769,1,6,10504,0,36,2434,2,11,1916,1,17,5237,0,37,1382,2,38,2202,0,35,2435,2,22,2751,3,13,3492,1,7,2384,3,25,2051,1,42,7036,2,2,6383,1,32,2652,2,1,6710,3,16,2599,1,19,5469,0,10,3653,2,5,2305,1,23,2718,2,28,11957,2,33,3611,0,39,1683,2,26,3683,US,1,5,156,138,1,5,7,6,5,7,7,1,6,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,4,2,2,1,35,1,1,1,1,1,60,1,2,2,Education ,0.8896631823461096,29,7,26,4,0,3,1,0,1
0,36,2690,1,1,19731,0,17,3205,0,11,6937,0,8,2191,0,42,4969,0,32,3418,1,40,14984,1,9,13678,0,28,2745,1,10,3853,0,25,3718,1,12,2881,0,7,9358,0,15,2899,1,16,3879,0,35,2283,1,31,3312,2,19,7644,0,13,3592,0,26,1963,0,33,1852,0,37,1551,0,34,5713,1,30,4169,2,22,2646,1,6,2778,1,39,2347,1,29,3298,1,23,3969,0,24,2268,1,38,2906,1,20,3196,1,3,5222,1,18,776559,1,4,1807,0,2,10819,0,5,4328,1,27,3156,1,21,2683,1,41,1531,0,14,2897,ID,2,2,966,168,6,5,3,5,6,5,5,4,4,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,4,3,2,2,25,2,1,1,12,1,70,2,1,2,psychology,0.3484320557491293,5,10,9,0,2,0,0,0,0
3,12,3799,0,9,944,0,15,3577,1,1,2243,1,34,1429,1,42,3479,0,19,3280,1,25,1823,0,5,2863,0,40,3599,3,11,2640,3,8,436,1,18,3136,0,28,6047,0,37,2537,1,10,6104,0,3,4600,0,36,3663,0,17,4177,0,21,2473,1,14,3031,2,30,3288,0,31,2104,1,23,7839,2,27,540,0,32,2984,1,22,3105,0,4,1513,0,20,3607,0,13,6226,1,29,2785,1,6,3288,1,16,628,1,7,1404,0,33,3680,0,26,580,0,38,4399,0,35,2128,1,24,2696,0,41,3849,0,39,1952,3,2,5007,DO,2,2,229,165,4,6,5,6,6,4,4,2,3,2,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,1,2,2,24,2,1,1,1,1,60,2,1,4,Architecture,0.8919860627177704,10,3,17,1,0,1,0,0,0
2,5,3308,1,36,2190,3,2,7323,1,26,4950,2,20,2072,1,3,3268,2,27,4369,3,7,2017,1,19,2580,2,40,2400,2,28,2577,1,34,2633,3,39,1282,2,17,10003,1,29,2307,2,33,1951,2,10,1482,1,23,2198,1,11,6983,1,22,1966,2,18,1450,2,13,2150,1,15,4036,2,42,2068,1,37,3378,3,1,4481,2,38,1636,2,16,1644,2,9,4649,2,32,2302,2,41,1864,2,31,4114,2,14,1933,3,4,3876,1,35,2230,0,25,2883,2,21,13267,2,12,3468,2,30,1999,2,8,3337,1,24,2551,3,6,2312,US,2,39,140,127,3,5,5,6,2,6,6,5,2,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,18,1,1,2,2,2,70,2,1,1,,0.5139372822299652,33,17,25,4,3,2,1,1,0
0,41,5618,0,20,2413,2,30,5218,2,14,6036,2,9,2977,0,17,2336,0,36,2409,1,10,3249,0,33,3497,2,38,2808,0,26,2320,1,32,3578,2,25,2210,0,4,5746,0,31,3397,3,11,2760,3,8,4295,2,6,3222,0,13,5091,1,42,2978,3,12,2062,1,22,3740,1,28,2731,2,34,5885,1,5,6015,1,40,2610,0,18,6851,0,39,2092,1,19,4112,2,1,15160,2,16,3118,0,29,3310,1,3,3078,3,24,1730,1,15,4933,1,27,1914,2,23,4321,3,35,1555,0,37,3211,1,21,4987,0,2,6755,3,7,5241,DO,0,236,168,146,3,6,3,4,4,7,3,4,3,3,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,3,2,2,2,24,2,1,1,1,1,70,1,1,4,software engineering,1.1335656213704992,33,9,8,4,1,0,1,0,0
2,4,3364,0,27,2579,0,30,2311,1,39,2719,2,6,1829,3,15,2182,3,8,2795,2,7,1800,3,9,3576,1,10,3229,1,35,3131,3,2,3938,1,20,3074,2,29,3019,1,31,2584,0,36,2433,1,21,1917,2,23,1958,0,24,11430,2,14,2236,2,22,2265,2,11,2301,0,3,3621,1,32,3363,2,38,8190,1,12,3341,1,1,7033,3,41,1574,3,40,810,1,25,5284,0,34,23236,2,33,2623,3,18,3482,2,26,1800,1,19,6660,1,13,2548,0,37,2050,1,28,1588,1,16,1849,3,17,3150,2,42,1766,2,5,5746,US,2,5,173,193,3,5,2,7,5,3,4,6,2,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,18,1,1,1,12,1,60,2,1,1,,0.9872241579558656,14,22,28,2,4,3,0,1,1
0,11,6051,0,29,5188,0,38,6161,0,40,4439,0,9,3288,0,2,12380,0,6,6311,0,8,2086,0,39,10383,0,22,2328,0,30,5124,0,24,6174,0,1,9788,0,18,15020,1,3,5172,0,15,6489,0,34,3565,0,41,2822,1,14,22197,0,19,5399,0,26,4035,0,4,9412,0,17,3195,0,5,6746,0,27,11543,0,31,1972,1,25,4540,0,20,2208,0,32,3875,0,42,8045,1,12,7425,1,23,1244,0,21,4283,0,37,1900,0,7,12277,0,16,2052,0,35,9353,0,36,2091,0,10,17976,0,28,12317,0,33,13642,1,13,7603,NO,2,8,299,79,1,5,6,2,4,6,2,2,6,6,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,1,2,23,2,1,1,1,2,60,2,1,4,,0.12543554006968635,2,2,2,0,0,0,0,0,0
3,32,1577,3,25,2890,3,36,2280,3,8,5515,3,42,1919,0,33,2469,2,39,3014,0,9,2703,3,7,5343,3,5,1812,3,26,1438,3,14,3062,3,28,1056,2,10,5250,3,17,1811,3,3,2610,2,24,2969,2,35,3031,1,22,4593,3,34,2218,3,4,2764,3,20,1671,3,21,1188,1,37,3154,0,6,12126,3,11,2297,3,16,1766,3,13,2219,0,30,4046,3,1,6025,3,19,12156,3,29,2506,3,31,2141,3,18,1939,3,41,2876,2,38,2188,3,15,1781,2,23,3108,1,40,3095,3,2,3874,3,27,1531,3,12,2515,IN,2,2,135,145,5,2,1,2,7,6,6,7,4,3,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,1,2,20,2,1,1,2,2,10,2,1,3,Computer Science Engineering,0.9825783972125428,38,35,29,4,4,3,1,1,1
